daño,Predicción
los electrodomesticos no funcionan,ejecutar
sin alumbrado publico,cancelar
internet intermitente y sin conexion estable,cancelar
no hay energia,ejecutar
el suministro de 220 voltios esta muy bajo ya que hace que  los aires acondicionados se apaguen,ejecutar
hace dos dias la energia de mi casa esta variando el voltaje y los bombillos titilan todo el tiempo,ejecutar
el taco esta haciendo corto y no tenemos luz,ejecutar
por el tubo metalico donde esta el medidor pasa corriente,cancelar
consumo elevado de 147  estando la casa desocupada,ejecutar
cayo un arbol de guayaba,ejecutar
empty,ejecutar
llega hasta el medidor y de ahi para la no hay energia,cancelar
hay una linea en el piso se requiere validar si pertenece a la empresa de energia,ejecutar
empty,ejecutar
una de las fases del 220 no tiene tension,ejecutar
sector sin servicio,cancelar
se exploto el contador del local,ejecutar
el contador parece q tiene un cable suelto por q marca muy rapido,ejecutar
no pasa energia desde la principal porque se pasaron unos gallinazos,ejecutar
poca energia,cancelar
en el breke del conductor de afuera de la casa esta hechando chispa en un cable y hace titiritiar los bombillos de la casa,cancelar
dano en el contador,ejecutar
se apaga todo y vuelve a reiniciar,ejecutar
los bombillos prenden y apagan y tiene bajo es de energia y solo pasa en mi apartamento los otros no,ejecutar
no prende una zona de la casa,cancelar
voltaje 220 bajo con pinza amperimetrica no marca mas de 30v,cancelar
no cuento con energia,ejecutar
desde ayer estamos sin energia 4 casas,ejecutar
se fue en todo el barrio,ejecutar
vandalizaron cables del medidor,cancelar
estan llegando facturas por ,ejecutar
3,"Entrada inválida. Por favor, ingrese un texto coherente."
se cayo un arbol,cancelar
no tengo energia mientras los demas si,ejecutar
poste sin alumbrado,cancelar
3 cuadrados sin energia desde hace 4 dias se robaron el cableado,cancelar
manipulacion de un cable y quedaron varias casa sin energia,ejecutar
acometida reventada,cancelar
sin internet,cancelar
la energia se va y viene constantemente,ejecutar
no hay energia en la casa,cancelar
no tengo energia en mi casa,cancelar
con los vientos la acometida se cayo con cableado y todo,cancelar
camion paso y rompio la linea de internet,cancelar
va y viene la energia,cancelar
empty,ejecutar
son las lamparas de alumbrado publico,cancelar
la verdad es para regular la corriente que esta entrando ya que la bomba trabaja con 220 voltios,ejecutar
reclamo por el alto cobro en la factura,ejecutar
el cableado de poste a poste esta muy caido y requerimos que sea arreglado,cancelar
reclamo por el alto cobro en la factura,ejecutar
numero de radicado,ejecutar
el numero de medidor no corresponde al de la factura,cancelar
una reconexion,cancelar
hay servicio de energia en media casa,ejecutar
esta marcando mas de 100 kw por dia,cancelar
sin energia en la vivienda,ejecutar
todos los postes sobre la calle 26 se encuentran apagados a la hora y llevan mas de 3 dias asi,ejecutar
es en mi predio,ejecutar
el contador  danado,ejecutar
se me va la energia y conecte el nevecon y no pasa corriente,ejecutar
bombilla del poste esta apagada,ejecutar
un carro hizo caer la cuerda,ejecutar
no se si es solo en mi casa o en el sector que se va la luz momentaneamente hasta 5 veces seguidas y vuelve inmediatamente y en el dia cada hora mas o menos o aveces despues de mas horas,ejecutar
la energia se va y vuelve,ejecutar
no hay energia,ejecutar
corte total de energia,ejecutar
sin energia,cancelar
no tenemos energia electrica en el sector,ejecutar
no tiene suficiente voltaje para conectar un electrodomestico,ejecutar
dano en el transformador se solicita poda de un arbol,cancelar
solicitud para retiro de sellos,cancelar
sin servicio en el sector,ejecutar
lamparas danadas no alumbran,cancelar
no tengo medidor,cancelar
oscuridad total,cancelar
en el techo de mi casa hay 3 cables caidos de los contadores de mis vecinos,cancelar
vandalizaron cables del medidor,cancelar
los costos son muy caros,ejecutar
65884909,"Entrada inválida. Por favor, ingrese un texto coherente."
al parecer reventaron cables x intento de robo,ejecutar
corto,ejecutar
me han llegado dos facturas cobrandome y la casa no esta habitada esta como la entrego la constructora,ejecutar
algunos tomas funcionan otros no segundo piso sin energia,ejecutar
la luz que corresponde al poste en el parque es un dano en alumbrado publico,cancelar
la energia va y vuelve,ejecutar
al parecer el dano viene de la acometida que esta del poste al contador y sucede que al conectar la nevera de la casa se baja el voltaje de la energia y pareciera que hiciera corto pero hay energia normal solo que la nevera el voltaje se dispara,cancelar
no esta marcando el consumo en el contador,ejecutar
el poste que se encuentra fuera de mi casa cuenta con una lampara que ha dejado de funcionar hace 5 dias y se encuentra en una curva,ejecutar
sin luz en el local,ejecutar
las farolas no prenden,ejecutar
no tengo servicio de energia,ejecutar
sin conexion a internet,cancelar
no tengo servicio de energia,ejecutar
no tiene iluminacion,ejecutar
desprendimiento del cable luz de la casa que va al contador,cancelar
no hay servicio solo en mi casa,ejecutar
el cobro de mi energia es muy alto,ejecutar
esta caida,cancelar
se quemaron los cables del poste,cancelar
sin servicio,cancelar
el tubo del cable se partio,ejecutar
sin energia hace 4 dias ,cancelar
y el cable  esta en el suelo echando chispas y hay muchos ninos jugando,ejecutar
cable del medidor,cancelar
hola,ejecutar
solicito retirar sellos para adecuacion,ejecutar
me quitaron la energia,ejecutar
no hay energia,ejecutar
caida poste,cancelar
mi contador esta pintando y alumbrado,cancelar
sin luz dos casas,ejecutar
esta muy alto y no permite que hagan la medida correcta,ejecutar
desconexion total de energia,cancelar
hay una falla reporte 33167 y 017294,ejecutar
dano en electrodomesticos,ejecutar
en la noche el poste no prende,ejecutar
hubo un corto en  la casa y me quede sin luz,ejecutar
revision de cableado,ejecutar
no hay energia,ejecutar
sobrevoltaje de mi casa 140 voltios,ejecutar
solicitarle la poda de arboles porque estan tapando las luminarias del sector,ejecutar
una buseta revento el cable de la luz,cancelar
los postes que tienen las,ejecutar
variacion en el voltaje,ejecutar
puedo hablar con un asesor,ejecutar
linea reventada,ejecutar
un cable suelto y esta echando chispas,ejecutar
se fue el servicio de energia en el sector,ejecutar
las casas presentan voltaje en variacion,ejecutar
esta sin energia toda la casa,cancelar
hacer mas de una hora se fue la energia en el sector,ejecutar
no tengo energia,cancelar
linea reinventada,ejecutar
